username,reponame,repoURL,no_of_stars
mrdoob,three.js,https://github.com/mrdoob/three.js,102000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,27100
libgdx,libgdx,https://github.com/libgdx/libgdx,23100
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,23000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,20200
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,18800
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,17700
aframevr,aframe,https://github.com/aframevr/aframe,16600
blender,blender,https://github.com/blender/blender,12700
CesiumGS,cesium,https://github.com/CesiumGS/cesium,12700
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,11300
isl-org,Open3D,https://github.com/isl-org/Open3D,11200
mapbox,mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,11000
metafizzy,zdog,https://github.com/metafizzy/zdog,10300
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9600
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,9200
4ian,GDevelop,https://github.com/4ian/GDevelop,9100
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7600
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,7600
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7600
