username,reponame,repoURL,no_of_stars
public-apis,public-apis,https://github.com/public-apis/public-apis,312000
neovim,neovim,https://github.com/neovim/neovim,81600
fastapi,fastapi,https://github.com/fastapi/fastapi,75400
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,63700
strapi,strapi,https://github.com/strapi/strapi,62700
ocornut,imgui,https://github.com/ocornut/imgui,59400
slatedocs,slate,https://github.com/slatedocs/slate,36000
QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,35900
Kong,insomnia,https://github.com/Kong/insomnia,34300
trpc,trpc,https://github.com/trpc/trpc,34300
httpie,cli,https://github.com/httpie/cli,33300
ccxt,ccxt,https://github.com/ccxt/ccxt,32500
hasura,graphql-engine,https://github.com/hasura/graphql-engine,31000
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30300
encode,django-rest-framework,https://github.com/encode/django-rest-framework,28100
YMFE,yapi,https://github.com/YMFE/yapi,27300
directus,directus,https://github.com/directus/directus,27100
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,25400
PostgREST,postgrest,https://github.com/PostgREST/postgrest,23200
mudler,LocalAI,https://github.com/mudler/LocalAI,23200
