username,reponame,repoURL,no_of_stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7900
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7400
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,6600
developit,unfetch,https://github.com/developit/unfetch,5700
jquery-form,form,https://github.com/jquery-form/form,5200
elbywan,wretch,https://github.com/elbywan/wretch,4800
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4600
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3100
ded,reqwest,https://github.com/ded/reqwest,2900
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2600
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2400
noelboss,featherlight,https://github.com/noelboss/featherlight,2100
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1900
k8w,tsrpc,https://github.com/k8w/tsrpc,1900
nette,tracy,https://github.com/nette/tracy,1700
taoensso,sente,https://github.com/taoensso/sente,1700
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1700
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1600
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1600
MoOx,pjax,https://github.com/MoOx/pjax,1400
