username,reponame,repoURL,no_of_stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,304000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,187000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,184000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,175000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,116000
krahets,hello-algo,https://github.com/krahets/hello-algo,94700
kdn251,interviews,https://github.com/kdn251/interviews,63300
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,58500
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54400
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,50400
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,46600
huihut,interview,https://github.com/huihut/interview,34400
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,32700
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,32000
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,30000
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,29300
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27100
keon,algorithms,https://github.com/keon/algorithms,23900
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23200
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,22900
