username,reponame,repoURL,no_of_stars
amphp,amp,https://github.com/amphp/amp,4200
danog,MadelineProto,https://github.com/danog/MadelineProto,2800
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,788000
amphp,parallel,https://github.com/amphp/parallel,770000
amphp,http-client,https://github.com/amphp/http-client,702000
amphp,byte-stream,https://github.com/amphp/byte-stream,363000
amphp,mysql,https://github.com/amphp/mysql,357000
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,348000
amphp,parallel-functions,https://github.com/amphp/parallel-functions,268000
xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,229000
amphp,process,https://github.com/amphp/process,227000
amphp,socket,https://github.com/amphp/socket,224000
amphp,sync,https://github.com/amphp/sync,157000
amphp,redis,https://github.com/amphp/redis,156000
amphp,dns,https://github.com/amphp/dns,155000
amphp,websocket-client,https://github.com/amphp/websocket-client,144000
kelunik,acme,https://github.com/kelunik/acme,121000
amphp,websocket-server,https://github.com/amphp/websocket-server,114000
amphp,serialization,https://github.com/amphp/serialization,107000
amphp,cache,https://github.com/amphp/cache,97000
