username,reponame,repoURL,no_of_stars
flutter,flutter,https://github.com/flutter/flutter,165000
facebook,react-native,https://github.com/facebook/react-native,118000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,111000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,109000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,82600
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,52900
google,material-design-icons,https://github.com/google/material-design-icons,50400
tldr-pages,tldr,https://github.com/tldr-pages/tldr,50300
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,50200
square,okhttp,https://github.com/square/okhttp,45700
laurent22,joplin,https://github.com/laurent22/joplin,45000
android,architecture-samples,https://github.com/android/architecture-samples,44300
appwrite,appwrite,https://github.com/appwrite/appwrite,43600
square,retrofit,https://github.com/square/retrofit,43000
skylot,jadx,https://github.com/skylot/jadx,40900
dcloudio,uni-app,https://github.com/dcloudio/uni-app,39900
fastlane,fastlane,https://github.com/fastlane/fastlane,39000
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37500
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,35000
airbnb,lottie-android,https://github.com/airbnb/lottie-android,35000
