username,reponame,repoURL,no_of_stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,111000
angular,angular,https://github.com/angular/angular,95700
storybookjs,storybook,https://github.com/storybookjs/storybook,83900
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,63000
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,50900
prettier,prettier,https://github.com/prettier/prettier,49100
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,42600
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,35000
angular,angular-cli,https://github.com/angular/angular-cli,26700
wailsapp,wails,https://github.com/wailsapp/wails,24300
angular,components,https://github.com/angular/components,24300
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,24100
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,23900
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,23600
nrwl,nx,https://github.com/nrwl/nx,23200
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21400
pubkey,rxdb,https://github.com/pubkey/rxdb,21100
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,19000
teambit,bit,https://github.com/teambit/bit,17800
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,17200
