username,reponame,repoURL,no_of_stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,65800
ansible,ansible,https://github.com/ansible/ansible,62300
trailofbits,algo,https://github.com/trailofbits/algo,28600
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,26400
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,15900
ansible,awx,https://github.com/ansible/awx,13900
easzlab,kubeasz,https://github.com/easzlab/kubeasz,10400
semaphoreui,semaphore,https://github.com/semaphoreui/semaphore,10300
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,8900
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,8300
khuedoan,homelab,https://github.com/khuedoan/homelab,8100
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,8000
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5900
rundeck,rundeck,https://github.com/rundeck/rundeck,5500
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,5000
clong,DetectionLab,https://github.com/clong/DetectionLab,4600
ChristianLempa,boilerplates,https://github.com/ChristianLempa/boilerplates,4500
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,3900
ansible,molecule,https://github.com/ansible/molecule,3900
