username,reponame,repoURL,no_of_stars
arendst,Tasmota,https://github.com/arendst/Tasmota,21900
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,16200
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,15200
arduino,Arduino,https://github.com/arduino/Arduino,14100
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,13300
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,13300
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13300
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,10100
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8900
platformio,platformio-core,https://github.com/platformio/platformio-core,7800
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6700
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6500
justcallmekoko,ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,5300
olikraus,u8g2,https://github.com/olikraus/u8g2,5000
omriharel,deej,https://github.com/omriharel/deej,4700
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4600
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4400
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,4300
arduino,arduino-cli,https://github.com/arduino/arduino-cli,4300
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4200
