username,reponame,repoURL,no_of_stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,323000
vinta,awesome-python,https://github.com/vinta/awesome-python,218000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,194000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,143000
avelino,awesome-go,https://github.com/avelino/awesome-go,128000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,90200
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,86700
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,82600
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,74900
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,70300
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,67500
enaqx,awesome-react,https://github.com/enaqx/awesome-react,64300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,58600
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,58000
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,57800
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,56400
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,52900
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,50200
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,47400
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,46900
