username,reponame,repoURL,no_of_stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,65800
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,61700
pulumi,pulumi,https://github.com/pulumi/pulumi,20900
recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,18800
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,17300
getsops,sops,https://github.com/getsops/sops,16300
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15000
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,13900
caprover,caprover,https://github.com/caprover/caprover,12900
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,11800
infracost,infracost,https://github.com/infracost/infracost,10900
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,10500
google,go-cloud,https://github.com/google/go-cloud,9500
budtmo,docker-android,https://github.com/budtmo/docker-android,9400
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9400
Netflix,metaflow,https://github.com/Netflix/metaflow,8000
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7500
midwayjs,midway,https://github.com/midwayjs/midway,7300
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,7100
node-formidable,formidable,https://github.com/node-formidable/formidable,7000
