username,reponame,repoURL,no_of_stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,78300
ccxt,ccxt,https://github.com/ccxt/ccxt,32500
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,28000
bitcoinbook,bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,23400
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18300
solana-labs,solana,https://github.com/solana-labs/solana,12900
bbfamily,abu,https://github.com/bbfamily/abu,11800
askmike,gekko,https://github.com/askmike/gekko,10100
dvf,blockchain,https://github.com/dvf/blockchain,7800
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7600
spesmilo,electrum,https://github.com/spesmilo/electrum,7300
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
getumbrel,umbrel,https://github.com/getumbrel/umbrel,7100
UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,6900
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6800
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,6300
btcsuite,btcd,https://github.com/btcsuite/btcd,6200
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5600
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5500
anders94,blockchain-demo,https://github.com/anders94/blockchain-demo,5200
