username,reponame,repoURL,no_of_stars
ccxt,ccxt,https://github.com/ccxt/ccxt,32500
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,25800
discordjs,discord.js,https://github.com/discordjs/discord.js,25200
wechaty,wechaty,https://github.com/wechaty/wechaty,20000
RasaHQ,rasa,https://github.com/RasaHQ/rasa,18600
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16700
hubotio,hubot,https://github.com/hubotio/hubot,16600
leon-ai,leon,https://github.com/leon-ai/leon,15200
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,15000
Rapptz,discord.py,https://github.com/Rapptz/discord.py,14700
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,14200
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,14000
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,13000
howdyai,botkit,https://github.com/howdyai/botkit,11400
feder-cr,linkedIn_auto_jobs_applier_with_AI,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI,11400
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10400
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,10000
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,8300
telegraf,telegraf,https://github.com/telegraf/telegraf,8100
microsoft,ailab,https://github.com/microsoft/ailab,7700
