username,reponame,repoURL,no_of_stars
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,196000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,175000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,58600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54400
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,50400
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,44300
WerWolv,ImHex,https://github.com/WerWolv/ImHex,42700
Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,38800
ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,36600
huihut,interview,https://github.com/huihut/interview,34400
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32299
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,30800
doocs,leetcode,https://github.com/doocs/leetcode,30800
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,30000
microsoft,calculator,https://github.com/microsoft/calculator,29500
aseprite,aseprite,https://github.com/aseprite/aseprite,28600
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,25200
gabime,spdlog,https://github.com/gabime/spdlog,23800
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,23800
ethereum,solidity,https://github.com/ethereum/solidity,23000
