username,reponame,repoURL,no_of_stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,109000
neovim,neovim,https://github.com/neovim/neovim,81600
obsproject,obs-studio,https://github.com/obsproject/obs-studio,58700
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,58600
git,git,https://github.com/git/git,51700
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,44800
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,41000
vim,vim,https://github.com/vim/vim,36100
curl,curl,https://github.com/curl/curl,35400
huihut,interview,https://github.com/huihut/interview,34400
mpv-player,mpv,https://github.com/mpv-player/mpv,27800
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,26100
ossrs,srs,https://github.com/ossrs/srs,25300
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,23700
google,flatbuffers,https://github.com/google/flatbuffers,23100
microsoft,vcpkg,https://github.com/microsoft/vcpkg,22800
ruby,ruby,https://github.com/ruby/ruby,21900
raysan5,raylib,https://github.com/raysan5/raylib,21500
hashcat,hashcat,https://github.com/hashcat/hashcat,20800
radareorg,radare2,https://github.com/radareorg/radare2,20300
