username,reponame,repoURL,no_of_stars
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31000
refined-github,refined-github,https://github.com/refined-github/refined-github,24200
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,23500
darkreader,darkreader,https://github.com/darkreader/darkreader,19400
dailydotdev,daily,https://github.com/dailydotdev/daily,17900
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,14800
unbug,codelf,https://github.com/unbug/codelf,14100
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,14000
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13300
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12500
crimx,ext-saladict,https://github.com/crimx/ext-saladict,11900
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,11600
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,11400
AutomaApp,automa,https://github.com/AutomaApp/automa,11300
PlasmoHQ,plasmo,https://github.com/PlasmoHQ/plasmo,10100
chathub-dev,chathub,https://github.com/chathub-dev/chathub,9900
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,9900
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,9800
xifangczy,cat-catch,https://github.com/xifangczy/cat-catch,8900
