username,reponame,repoURL,no_of_stars
realm,SwiftLint,https://github.com/realm/SwiftLint,18600
facebook,infer,https://github.com/facebook/infer,14900
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,13200
federico-busato,Modern-CPP-Programming,https://github.com/federico-busato/Modern-CPP-Programming,11700
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,9700
super-linter,super-linter,https://github.com/super-linter/super-linter,9400
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,8900
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,8300
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7800
facebook,pyre-check,https://github.com/facebook/pyre-check,6800
detekt,detekt,https://github.com/detekt/detekt,6200
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,5500
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,5500
pylint-dev,pylint,https://github.com/pylint-dev/pylint,5200
pmd,pmd,https://github.com/pmd/pmd,4800
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4700
kucherenko,jscpd,https://github.com/kucherenko/jscpd,4700
phpro,grumphp,https://github.com/phpro/grumphp,4100
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,3100
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2500
