username,reponame,repoURL,no_of_stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,172000
junegunn,fzf,https://github.com/junegunn/fzf,63700
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,57800
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,50300
sharkdp,bat,https://github.com/sharkdp/bat,48600
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,47500
wagoodman,dive,https://github.com/wagoodman/dive,45400
n8n-io,n8n,https://github.com/n8n-io/n8n,45200
google,zx,https://github.com/google/zx,42800
chubin,cheat.sh,https://github.com/chubin/cheat.sh,38100
spf13,cobra,https://github.com/spf13/cobra,37500
cli,cli,https://github.com/cli/cli,36600
httpie,cli,https://github.com/httpie/cli,33300
sharkdp,fd,https://github.com/sharkdp/fd,33300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,32600
All-Hands-AI,OpenHands,https://github.com/All-Hands-AI/OpenHands,31200
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,30600
tqdm,tqdm,https://github.com/tqdm/tqdm,28300
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,28000
google,python-fire,https://github.com/google/python-fire,26900
