username,reponame,repoURL,no_of_stars
vercel,next.js,https://github.com/vercel/next.js,125000
rust-lang,rust,https://github.com/rust-lang/rust,96600
sveltejs,svelte,https://github.com/sveltejs/svelte,78200
webpack,webpack,https://github.com/webpack/webpack,64599
FuelLabs,sway,https://github.com/FuelLabs/sway,62800
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,55200
JetBrains,kotlin,https://github.com/JetBrains/kotlin,48800
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,43400
babel,babel,https://github.com/babel/babel,43200
evanw,esbuild,https://github.com/evanw/esbuild,37900
vlang,v,https://github.com/vlang/v,35700
ziglang,zig,https://github.com/ziglang/zig,33600
markedjs,marked,https://github.com/markedjs/marked,32800
typst,typst,https://github.com/typst/typst,32600
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32299
swc-project,swc,https://github.com/swc-project/swc,30900
vercel,pkg,https://github.com/vercel/pkg,24300
v8,v8,https://github.com/v8/v8,23200
oracle,graal,https://github.com/oracle/graal,20200
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19300
