username,reponame,repoURL,no_of_stars
localstack,localstack,https://github.com/localstack/localstack,53700
harness,gitness,https://github.com/harness/gitness,32100
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,22900
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,14200
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,11800
dagger,dagger,https://github.com/dagger/dagger,10900
openshift,origin,https://github.com/openshift/origin,8500
concourse,concourse,https://github.com/concourse/concourse,7400
gocd,gocd,https://github.com/gocd/gocd,7100
buildbot,buildbot,https://github.com/buildbot/buildbot,5200
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5200
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,4700
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4600
ovh,cds,https://github.com/ovh/cds,4600
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,4300
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,4200
werf,werf,https://github.com/werf/werf,4200
iterative,cml,https://github.com/iterative/cml,4000
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3900
